aX,aY,aZ,gX,gY,gZ
0.570,-0.071,-1.027,18.311,21.423,17.273
0.535,0.010,-1.046,12.024,18.188,10.559
0.463,0.039,-1.013,8.484,12.512,2.136
0.421,-0.024,-0.966,9.094,5.798,-0.977
0.420,-0.093,-0.905,8.667,2.075,2.686
0.504,-0.172,-0.853,6.226,2.686,9.277
0.550,-0.209,-0.800,3.845,5.005,14.404
0.577,-0.185,-0.786,0.977,6.531,15.930
0.559,-0.154,-0.808,0.549,5.249,14.832
0.514,-0.091,-0.852,0.793,1.343,13.977
0.502,-0.063,-0.887,0.732,-0.427,14.221
0.501,-0.033,-0.910,-0.305,-0.793,13.184
0.546,-0.069,-0.898,-0.916,-3.174,11.292
0.565,-0.101,-0.852,-2.563,-4.761,7.812
0.566,-0.138,-0.777,-4.395,-5.188,3.540
0.573,-0.203,-0.703,-3.113,-6.714,1.282
0.604,-0.272,-0.646,-1.038,-7.141,1.587
0.641,-0.346,-0.611,1.160,-5.127,2.197
0.626,-0.341,-0.605,2.136,-3.052,2.625
0.602,-0.278,-0.644,3.784,0.000,4.150
0.572,-0.157,-0.732,5.981,2.686,4.944
0.584,-0.078,-0.852,8.179,0.793,4.944
0.581,-0.018,-0.951,7.202,-1.770,3.845
0.607,-0.052,-0.999,3.723,-3.235,1.587
0.594,-0.111,-0.968,-2.075,-3.662,0.244
0.576,-0.143,-0.893,-10.132,-2.686,-0.977
0.598,-0.206,-0.813,-14.648,0.000,-2.686
0.604,-0.274,-0.716,-15.808,1.770,-3.113
0.597,-0.283,-0.633,-15.808,2.991,-2.136
0.606,-0.305,-0.597,-11.597,3.723,1.099
0.622,-0.305,-0.605,-5.249,4.089,6.226
0.656,-0.293,-0.646,1.587,4.517,9.155
0.633,-0.223,-0.727,8.179,2.197,8.972
0.622,-0.156,-0.897,12.756,-2.625,5.249
0.557,-0.110,-1.029,12.512,-5.981,0.000
0.489,-0.075,-1.057,6.226,-7.263,-2.258
0.487,-0.105,-0.995,-2.075,-7.324,-1.648

0.255,0.254,0.995,0.977,-7.080,-3.601
0.218,0.251,1.018,0.916,-7.446,-5.005
0.194,0.244,1.026,2.380,-5.676,-5.127
0.195,0.226,1.029,3.906,-2.930,-4.150
0.195,0.245,1.026,4.150,-0.610,-2.991
0.217,0.258,1.005,5.371,0.427,-2.014
0.244,0.262,0.984,6.958,-0.854,-1.160
0.256,0.278,0.948,7.935,-3.235,-1.831
0.263,0.291,0.917,9.216,-5.676,-2.502
0.250,0.290,0.894,10.498,-8.728,-3.174
0.208,0.265,0.860,11.353,-11.047,-5.249
0.179,0.229,0.844,10.437,-10.803,-6.104
0.153,0.216,0.867,6.104,-8.484,-5.737
0.127,0.213,0.899,1.282,-5.310,-4.578
0.135,0.205,0.937,-1.953,-1.709,-2.258
0.176,0.233,0.985,-4.517,2.319,0.916
0.215,0.277,1.024,-4.944,4.944,3.174
0.253,0.292,1.028,-0.977,3.662,3.845
0.267,0.292,1.020,3.967,-0.244,2.686
0.236,0.270,1.005,8.484,-3.662,-0.488
0.190,0.231,0.987,11.780,-4.822,-3.235
0.153,0.201,0.975,13.000,-3.845,-3.479
0.136,0.185,0.963,12.817,-2.075,-2.441
0.173,0.186,0.971,11.108,-0.366,-0.183
0.233,0.202,1.030,7.629,0.732,2.075
0.264,0.208,1.131,5.432,-0.427,2.014
0.283,0.194,1.248,6.775,-4.028,0.610
0.277,0.159,1.440,10.681,-9.155,-1.526
0.220,0.134,1.680,18.250,-14.038,-1.831
0.213,0.108,1.880,33.875,-14.709,1.526
0.305,0.056,2.109,53.772,-11.108,6.409
0.389,0.017,2.474,71.899,-6.714,9.583
0.453,0.004,2.963,93.384,-7.751,9.216
0.378,0.009,3.407,127.319,-10.742,4.639
0.124,0.045,3.490,181.213,-10.498,-4.578
-0.014,0.001,3.244,248.840,-1.831,-3.540
0.119,-0.040,2.975,301.453,14.282,12.024
0.402,-0.026,2.887,324.524,34.241,26.428
0.718,0.010,3.070,325.562,57.373,21.973
0.848,0.132,3.498,318.420,80.688,-3.723
0.658,0.250,4.000,329.163,103.210,-30.151
0.382,0.392,4.000,367.065,128.418,-46.997
0.031,0.582,4.000,420.349,148.071,-46.875
-0.241,0.789,3.986,479.553,160.278,-26.794
-0.434,0.896,3.197,533.386,175.171,0.732
-0.833,1.068,1.945,567.078,178.162,21.973
-1.005,1.133,0.430,581.238,153.870,40.527
-0.739,0.968,-0.762,564.819,122.742,76.233
-0.329,0.666,-1.297,509.949,107.483,115.601
0.149,0.447,-1.166,421.753,123.718,122.742
0.323,0.437,-0.475,327.332,157.776,98.267
0.119,0.483,0.563,267.639,166.199,66.040
-0.071,0.588,1.210,258.362,140.198,52.795
-0.109,0.458,1.548,290.588,114.197,64.209
-0.147,0.321,1.532,327.637,114.624,80.811
-0.102,0.295,1.220,346.069,126.160,94.177
0.105,0.262,0.947,350.159,141.846,107.910
0.257,0.276,0.848,339.905,156.311,113.220
0.262,0.394,0.711,324.158,162.598,103.516
0.183,0.480,0.457,315.552,161.743,88.013
0.145,0.463,0.318,313.354,157.288,76.843
0.094,0.416,0.316,311.279,154.053,71.533
0.066,0.408,0.238,307.007,151.062,63.477
0.076,0.394,0.114,303.528,146.606,53.162
0.052,0.334,0.029,303.101,140.808,44.434
-0.030,0.331,-0.121,301.636,130.554,36.865
-0.001,0.230,-0.349,298.706,119.568,33.386
-0.056,0.105,-0.431,286.926,117.065,36.682
-0.090,0.182,-0.431,263.733,120.544,41.321
-0.057,0.230,-0.461,246.582,119.934,42.419
0.006,0.223,-0.469,234.619,116.150,43.945
-0.021,0.380,-0.515,220.764,110.046,41.199
-0.087,0.589,-0.700,212.769,98.755,36.499
-0.018,0.666,-0.980,213.562,83.496,35.034
0.068,0.718,-1.215,207.703,68.848,29.358
0.019,0.730,-1.390,193.542,57.007,21.423
0.053,0.672,-1.548,173.035,46.997,13.733
0.123,0.488,-1.519,145.386,44.617,11.047
0.118,0.417,-1.321,110.596,50.781,11.719
0.181,0.330,-1.108,84.412,57.556,14.526
0.258,0.208,-0.931,74.585,58.716,19.287
0.321,0.140,-0.863,72.937,50.354,19.226
0.364,0.086,-0.913,75.928,35.828,12.695
0.409,-0.056,-1.000,79.224,20.569,6.165
0.374,-0.139,-1.046,74.158,10.559,3.601
0.283,-0.067,-1.072,59.937,12.390,4.456
0.259,-0.005,-1.081,46.570,18.372,8.301
0.280,0.043,-1.087,37.170,20.691,15.869
0.296,0.092,-1.116,30.090,20.508,21.606
0.354,0.115,-1.164,24.536,17.334,22.644
0.443,0.051,-1.178,21.057,11.658,20.386
0.506,-0.058,-1.145,15.442,7.202,15.076
0.520,-0.124,-1.039,6.226,6.226,6.592
0.543,-0.184,-0.918,0.488,6.287,1.770
0.554,-0.269,-0.798,-1.160,7.446,1.892
0.505,-0.272,-0.724,-1.709,9.766,2.930
0.500,-0.239,-0.735,0.366,8.057,4.089
0.490,-0.220,-0.821,6.836,5.981,8.362
0.464,-0.175,-0.908,10.193,6.531,10.132
0.444,-0.109,-0.979,10.559,6.653,8.423
0.463,-0.106,-1.043,11.108,3.113,4.700
0.454,-0.104,-1.071,8.545,0.061,-1.404
0.412,-0.130,-1.029,4.700,0.366,-5.554
0.412,-0.193,-0.959,1.892,-0.122,-7.385
0.390,-0.211,-0.910,-1.099,0.488,-7.568
0.405,-0.246,-0.872,-2.991,4.150,-6.653
0.443,-0.255,-0.847,-3.479,9.216,-4.578
0.480,-0.268,-0.818,-3.479,13.184,-2.441
0.463,-0.286,-0.767,-2.502,16.418,0.793
0.453,-0.224,-0.755,-2.319,17.883,3.052
0.488,-0.174,-0.807,1.038,18.494,3.845
0.507,-0.187,-0.890,4.944,16.357,2.380
0.496,-0.188,-0.922,2.747,7.812,-2.014
0.471,-0.187,-0.919,-0.366,-0.427,-5.005
0.448,-0.210,-0.898,-2.686,-2.747,-6.348
0.417,-0.225,-0.861,-5.249,-4.578,-6.897
0.417,-0.275,-0.830,-4.883,-7.690,-6.348
0.414,-0.308,-0.805,-4.028,-10.132,-4.272
0.419,-0.334,-0.775,-3.967,-9.216,-0.671

0.224,0.358,0.974,-18.066,-13.855,0.305
0.207,0.357,0.991,-18.677,-13.184,-0.488
0.194,0.356,1.004,-18.616,-10.803,-0.366
0.186,0.365,1.015,-18.188,-8.362,0.427
0.180,0.366,1.019,-16.541,-6.287,0.916
0.172,0.359,1.011,-14.709,-4.578,0.916
0.169,0.355,1.005,-12.878,-3.479,1.465
0.177,0.366,1.001,-11.780,-2.502,2.808
0.193,0.367,0.997,-9.888,-1.953,3.662
0.204,0.376,0.986,-8.057,-2.502,3.845
0.214,0.379,0.979,-6.897,-3.296,3.418
0.216,0.379,0.981,-6.470,-4.578,3.113
0.218,0.383,0.987,-6.592,-5.737,2.686
0.224,0.393,0.999,-6.958,-5.737,2.197
0.226,0.398,1.009,-6.226,-4.883,0.549
0.214,0.394,1.012,-4.333,-3.418,-1.465
0.194,0.376,1.000,-1.404,-2.625,-2.808
0.182,0.370,0.979,0.549,-2.380,-2.930
0.188,0.363,0.978,1.099,-1.953,-1.831
0.194,0.368,0.975,1.770,-1.831,-1.221
0.204,0.373,0.966,2.808,-2.258,-0.916
0.217,0.380,0.964,3.113,-3.601,-0.305
0.216,0.390,0.969,3.113,-5.676,-0.366
0.205,0.378,0.969,4.517,-6.653,-1.404
0.194,0.371,0.964,5.737,-6.042,-1.404
0.194,0.368,0.972,6.287,-5.005,-1.221
0.209,0.369,0.993,6.470,-4.028,-1.099
0.228,0.380,1.030,5.615,-4.333,-2.075
0.244,0.387,1.104,4.700,-6.348,-3.967
0.255,0.380,1.199,4.089,-10.132,-5.554
0.253,0.386,1.323,4.639,-15.137,-7.263
0.232,0.385,1.444,7.996,-21.118,-8.545
0.174,0.333,1.590,16.113,-25.574,-9.338
0.071,0.292,1.699,31.372,-28.931,-6.714
0.011,0.289,1.747,54.749,-27.954,1.831
0.011,0.269,1.910,79.590,-23.804,15.076
0.067,0.337,2.171,98.633,-23.010,26.672
0.228,0.423,2.489,116.943,-25.940,34.973
0.399,0.474,2.882,134.766,-28.625,31.677
0.378,0.499,3.322,154.480,-20.813,15.503
0.241,0.577,3.670,183.044,-0.183,4.700
0.133,0.669,3.823,230.835,30.151,10.986
0.055,0.747,3.685,292.236,63.843,25.940
-0.029,0.812,3.291,350.586,93.445,36.072
-0.147,0.853,2.767,396.790,113.281,39.673
-0.226,0.843,2.249,433.289,122.925,44.006
-0.223,0.805,1.799,454.529,129.517,51.392
-0.163,0.675,1.424,459.839,140.808,59.021
-0.067,0.499,1.124,444.641,154.968,65.491
0.027,0.362,1.022,410.461,171.875,69.763
0.195,0.269,1.126,370.483,184.143,69.397
-0.064,0.422,1.190,333.252,194.153,65.308
