aX,aY,aZ,gX,gY,gZ
-4.000,-4.000,-1.277,119.324,-499.939,-322.327
-4.000,-4.000,-0.633,288.452,-341.187,-307.495
-4.000,-4.000,0.235,371.338,-246.643,-336.792
-2.344,-4.000,1.042,374.695,-236.694,-386.047
1.150,-4.000,1.421,263.855,-284.851,-368.530
3.024,-4.000,1.357,67.383,-289.734,-199.219
2.743,-4.000,0.324,-117.371,-75.745,70.496
0.242,-4.000,-0.839,-252.930,311.035,320.740
-3.218,-4.000,-1.860,-284.058,658.081,533.203
-4.000,-3.935,-2.108,-144.775,826.660,677.734
-3.993,-2.988,-1.219,40.833,699.890,696.472
-3.123,-2.818,-0.040,148.987,454.407,661.621
-2.142,-2.308,0.796,148.926,271.423,615.173
-1.403,-1.745,1.112,98.633,191.467,587.219
-0.920,-1.215,1.324,68.420,203.430,584.106
-0.815,-0.668,1.419,75.439,256.348,577.515
-0.841,-0.001,1.688,95.703,327.820,566.528
-0.715,0.740,1.715,90.698,392.761,540.771
-0.866,1.677,1.615,42.480,407.104,491.089
-0.924,2.322,1.407,-29.358,379.395,409.851
-0.600,2.441,1.043,-104.980,336.731,318.542
-0.558,2.504,0.685,-157.776,273.254,249.817
-0.525,2.657,0.569,-151.855,199.585,207.642
-0.537,2.884,0.799,-106.934,135.681,162.781
-0.389,3.118,1.205,-51.392,90.393,105.225
-0.189,3.304,1.643,-12.695,71.411,56.030
-0.021,3.335,1.847,-11.963,76.965,27.222
0.191,3.108,1.778,-42.419,96.375,19.958
0.381,2.737,1.423,-83.923,115.906,30.090
0.443,2.458,0.947,-123.230,120.544,44.678
0.585,2.132,0.525,-141.296,112.366,52.002
0.658,1.883,0.263,-125.366,89.355,49.011
0.749,1.688,0.221,-79.529,61.951,34.485
0.823,1.550,0.303,-30.884,36.865,17.944
0.865,1.423,0.461,3.357,16.724,7.996
0.900,1.273,0.611,20.264,4.944,4.028
0.921,1.193,0.711,18.494,3.418,5.981
0.884,1.136,0.699,4.517,7.446,11.902
0.862,1.034,0.605,-9.094,15.320,17.151
0.884,0.932,0.491,-15.930,26.062,20.752
0.907,0.845,0.354,-15.808,34.546,20.508
0.890,0.768,0.220,-10.925,35.706,18.860
0.886,0.701,0.126,-0.977,32.898,13.855
0.866,0.663,0.103,12.573,27.100,5.005
0.841,0.583,0.182,26.978,19.470,-1.343
0.807,0.555,0.314,34.912,10.681,-3.174
0.800,0.524,0.564,32.715,0.977,-2.563
0.541,0.467,0.661,20.081,-20.325,-5.249
0.498,0.600,0.674,-5.432,-34.363,-7.568
0.434,0.515,0.629,-12.268,-19.531,-6.226
0.416,0.522,0.521,-14.404,1.404,-7.019
0.453,0.472,0.389,-12.939,23.315,-11.108
0.504,0.443,0.262,-11.475,33.997,-16.418
0.551,0.416,0.150,-10.620,30.334,-22.949
0.611,0.408,0.074,-9.094,17.761,-28.320
0.721,0.380,0.051,-7.935,3.784,-29.968
0.779,0.385,0.062,-9.277,-9.094,-26.611
0.819,0.388,0.083,-11.902,-17.090,-21.484
0.875,0.352,0.166,-10.925,-14.587,-16.418
0.886,0.375,0.212,-10.498,0.427,-11.841
0.805,0.404,0.187,-13.916,14.954,-9.094
0.728,0.392,0.176,-18.066,18.127,-7.080
0.677,0.375,0.176,-19.104,12.146,-4.150
0.608,0.418,0.201,-16.846,5.432,-1.465
0.576,0.447,0.243,-11.353,2.869,-1.221
0.548,0.474,0.262,-6.165,4.272,-3.662

0.948,0.372,0.175,-4.028,9.155,15.869
0.933,0.367,0.184,-6.531,10.376,17.029
0.928,0.365,0.185,-9.216,11.230,17.395
0.921,0.364,0.177,-10.620,12.146,17.029
0.920,0.371,0.168,-11.292,11.963,16.785
0.918,0.373,0.158,-11.353,11.597,16.296
0.916,0.373,0.146,-10.193,10.986,15.198
0.926,0.375,0.146,-8.362,9.460,13.916
0.933,0.370,0.150,-6.104,7.874,12.634
0.930,0.377,0.159,-4.822,6.042,12.146
0.928,0.382,0.167,-4.150,4.883,12.207
0.914,0.393,0.178,-4.272,4.211,12.451
0.906,0.395,0.184,-5.188,4.333,11.658
0.893,0.399,0.181,-6.775,4.761,10.620
0.891,0.400,0.170,-8.057,4.578,9.888
0.888,0.404,0.153,-9.094,3.418,9.338
0.887,0.417,0.135,-8.545,2.197,8.606
0.891,0.422,0.125,-6.592,1.160,7.629
0.891,0.433,0.117,-3.540,0.244,6.348
0.893,0.448,0.118,0.122,-0.977,4.456
0.904,0.443,0.128,3.967,-2.686,2.197
0.926,0.447,0.143,6.104,-4.944,0.305
0.932,0.453,0.168,5.310,-8.484,-0.061
0.948,0.446,0.191,3.235,-11.597,0.427
0.959,0.469,0.207,0.305,-13.550,0.671
0.967,0.488,0.221,-1.770,-14.404,-0.183
0.968,0.507,0.242,-3.540,-14.526,-1.770
0.965,0.539,0.277,-5.737,-14.221,-4.395
0.968,0.582,0.324,-11.292,-15.808,-11.047
0.986,0.625,0.341,-20.874,-20.386,-22.827
0.997,0.660,0.326,-30.212,-25.696,-35.889
1.005,0.692,0.323,-35.706,-28.931,-46.753
0.982,0.755,0.330,-35.950,-32.715,-59.509
0.943,0.875,0.339,-31.067,-41.809,-79.895
0.954,0.988,0.346,-23.315,-54.565,-107.727
1.010,1.064,0.365,-14.465,-69.519,-136.536
1.122,1.166,0.438,-2.991,-87.463,-162.231
1.294,1.346,0.518,5.981,-114.502,-183.777
1.501,1.660,0.554,8.423,-157.654,-209.900
1.783,2.087,0.590,10.010,-209.778,-239.868
2.024,2.453,0.575,11.475,-260.437,-266.174
2.076,2.575,0.742,21.973,-312.561,-283.264
2.010,2.787,1.017,35.645,-364.746,-275.757
1.808,3.460,1.430,28.564,-408.997,-249.939
1.355,4.000,1.594,17.700,-430.542,-211.670
0.949,4.000,1.442,-6.897,-397.583,-188.782
0.894,4.000,0.937,-53.650,-312.317,-206.482
0.756,4.000,0.133,-123.230,-256.287,-243.103
0.362,3.842,-0.781,-207.642,-282.043,-262.085
-0.465,3.239,-1.791,-279.358,-393.738,-262.085
-1.840,2.526,-2.552,-290.283,-566.833,-273.804
-3.307,1.548,-2.409,-220.276,-710.632,-303.162
-4.000,-0.112,-1.781,-70.007,-730.774,-350.342
-4.000,-2.664,-0.969,123.047,-606.262,-400.879
-4.000,-4.000,0.156,298.767,-422.302,-421.143
-4.000,-4.000,1.081,402.466,-300.110,-393.005
-3.641,-4.000,2.045,395.752,-274.658,-341.675
-0.362,-4.000,2.319,300.232,-298.340,-320.984
2.742,-4.000,1.859,97.534,-306.213,-250.916
3.603,-4.000,0.761,-121.582,-198.120,-52.368
1.876,-4.000,-0.548,-244.141,60.486,223.389
-1.451,-4.000,-1.847,-260.071,384.338,478.333
-3.685,-3.683,-2.563,-132.751,685.120,681.458
-4.000,-2.790,-2.242,106.995,773.621,765.442
-4.000,-2.224,-1.206,288.696,619.690,721.741
-3.179,-1.916,-0.190,318.848,375.427,640.137
-2.427,-1.516,0.417,232.849,157.898,577.026
-2.055,-0.986,0.761,102.722,15.747,533.630
-1.598,-0.497,0.747,14.160,-26.245,485.168
-1.025,-0.155,0.695,-27.283,36.133,424.744
-0.445,0.047,0.653,-36.194,148.132,391.174
-0.192,0.347,0.616,-31.799,243.225,404.114
-0.300,0.753,0.673,-18.555,290.649,428.345
-0.373,1.115,0.787,-1.099,303.223,415.710
-0.318,1.446,0.933,8.423,295.715,362.244
-0.341,1.704,1.093,11.902,280.762,299.561
-0.341,1.775,1.303,9.888,259.705,245.056
-0.082,1.767,1.489,-2.258,222.290,190.857
0.092,1.955,1.593,-24.597,169.739,141.846
0.275,1.979,1.689,-43.274,128.723,106.445
0.416,1.992,1.715,-55.847,122.559,83.069
0.694,2.094,2.021,-62.500,144.958,61.951
0.935,1.633,1.509,-63.965,213.928,48.462
0.656,1.793,0.905,-72.693,251.282,49.500
0.836,1.611,0.798,-67.627,219.177,43.823
1.067,1.450,0.974,-55.542,169.006,30.334
1.502,1.222,1.476,-70.007,130.249,25.940
1.626,0.940,1.283,-86.670,127.930,39.490
1.437,0.989,0.904,-90.149,138.672,46.692
1.273,0.945,0.710,-77.576,119.690,47.791
